type,id,position,destination,speed,availablepickedUp,delivered,strategy,totalTime
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,0.577414
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,1.097651
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,1.603674
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,2.103820
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,2.605065
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,3.105653
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,3.622389
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,4.139474
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,4.655881
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,5.171608
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,5.672795
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,6.173488
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,6.689430
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,7.191735
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,7.707108
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,8.225231
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,8.730002
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,0.504765
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,9.236930
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,1.011688
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,9.749688
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,1.524447
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,10.266252
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,2.041010
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,10.767065
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,2.541825
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,11.269782
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,3.044544
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,11.784222
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,3.558982
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,12.299784
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,4.074543
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,12.799924
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,4.574681
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,13.300591
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,5.075347
drone,0,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,13.800630
drone,3,[498.291992 270.000000 -228.623001],[0.000000 0.000000 0.000000],30.000000,1,1,N/A,N/A,5.575384
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,0.010000
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,0.010000
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,1,N/A,0,astar,0.010000
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,1,N/A,0,astar,0.010000
drone,0,[494.817444 269.778625 -235.603043],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,14.309171
drone,3,[495.125305 269.796082 -221.497757],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,6.083925
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,0.500000
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,0.500000
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,0.500000
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,0.510000
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,0.510000
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,0.510000
drone,16,[490.251648 269.718292 -215.608414],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,0.510000
drone,17,[489.115479 269.721405 -216.383499],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,0.510000
drone,18,[511.272339 269.747864 -220.526627],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,0.510000
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,0.520000
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,0.520000
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,0.520000
robot,15,[-8.152268 254.664993 446.927155],[-568.856812 254.664993 -123.639938],30.000000,0,N/A,0,astar,0.520000
drone,0,[488.001984 269.344391 -249.294662],[257.511902 254.664993 -712.338623],30.000000,0,0,N/A,N/A,14.819182
drone,3,[488.913727 269.396088 -207.521317],[260.048126 254.664993 307.417358],30.000000,0,0,N/A,N/A,6.593937
robot,6,[-1285.418457 254.664993 -411.041473],[-967.819458 254.664993 338.961121],30.000000,1,N/A,0,astar,1.009999
robot,8,[1202.641846 254.664993 644.137695],[204.412491 254.664993 503.066345],30.000000,1,N/A,0,astar,1.009999
robot,9,[257.511902 254.664993 -712.338623],[1304.776001 254.664993 -134.476395],30.000000,0,N/A,0,astar,1.009999
robot,11,[260.048126 254.664993 307.417358],[-1402.153931 254.664993 754.182617],30.000000,0,N/A,0,astar,1.019999
robot,12,[60.206696 254.664993 480.521179],[-1165.646362 254.664993 389.352692],30.000000,0,N/A,0,astar,1.019999
robot,14,[1284.577759 254.664993 504.404144],[1308.848022 254.664993 564.947388],30.000000,1,N/A,0,astar,1.019999
drone,16,[482.211304 269.436584 -202.593826],[60.206696 254.664993 480.521179],30.000000,0,0,N/A,N/A,1.019999
drone,17,[479.938965 269.442810 -204.143570],[-8.152268 254.664993 446.927155],30.000000,0,0,N/A,N/A,1.019999
drone,18,[524.252686 269.495728 -212.430252],[1287.642944 254.664993 263.764832],30.000000,0,0,N/A,N/A,1.019999
robot,7,[1508.092773 254.664993 512.096680],[1134.762817 254.664993 795.462219],30.000000,1,N/A,0,astar,1.029999
robot,10,[1538.899292 254.664993 -618.731628],[-621.400696 254.664993 -522.302368],30.000000,1,N/A,0,astar,1.029999
robot,13,[1287.642944 254.664993 263.764832],[664.674377 254.664993 -214.907776],30.000000,0,N/A,0,astar,1.029999
